accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
4534398,Lepidoptera,Noctuidae,Longalatedes,Longalatedes elymi,Longalatedes elymi,99,ACCEPTED,EXACT,SPECIES,london31May2023
1770353,Lepidoptera,Noctuidae,Luperina,Luperina dumerilii,Luperina dumerilii,99,ACCEPTED,EXACT,SPECIES,london31May2023
1770322,Lepidoptera,Noctuidae,Luperina,Luperina nickerlii,Luperina nickerlii,99,ACCEPTED,EXACT,SPECIES,london31May2023
1770307,Lepidoptera,Noctuidae,Luperina,Luperina testacea,Luperina testacea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1794590,Lepidoptera,Noctuidae,Lycophotia,Lycophotia porphyrea,Lycophotia porphyrea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1768117,Lepidoptera,Noctuidae,Macdunnoughia,Macdunnoughia confusa,Macdunnoughia confusa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1788522,Lepidoptera,Noctuidae,Mamestra,Mamestra brassicae,Mamestra brassicae,99,ACCEPTED,EXACT,SPECIES,london31May2023
8729319,Lepidoptera,Noctuidae,Megalographa,Megalographa biloba,Megalographa biloba,99,ACCEPTED,EXACT,SPECIES,london31May2023
1783971,Lepidoptera,Noctuidae,Meganephria,Meganephria bimaculosa,Meganephria bimaculosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1765767,Lepidoptera,Noctuidae,Melanchra,Melanchra persicariae,Melanchra persicariae,99,ACCEPTED,EXACT,SPECIES,london31May2023
1788425,Lepidoptera,Noctuidae,Mesapamea,Mesapamea didyma,Mesapamea secalis,99,SYNONYM,EXACT,SPECIES,london31May2023
1788425,Lepidoptera,Noctuidae,Mesapamea,Mesapamea secalis,Mesapamea secalis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1787417,Lepidoptera,Noctuidae,Mesogona,Mesogona acetosellae,Mesogona acetosellae,98,ACCEPTED,EXACT,SPECIES,london31May2023
1760104,Lepidoptera,Noctuidae,Mesoligia,Mesoligia furuncula,Mesoligia furuncula,98,ACCEPTED,EXACT,SPECIES,london31May2023
4533347,Lepidoptera,Noctuidae,Mniotype,Mniotype adusta,Mniotype adusta,99,ACCEPTED,EXACT,SPECIES,london31May2023
4533360,Lepidoptera,Noctuidae,Mniotype,Mniotype satura,Mniotype satura,98,ACCEPTED,EXACT,SPECIES,london31May2023
4533345,Lepidoptera,Noctuidae,Mniotype,Mniotype solieri,Mniotype solieri,99,ACCEPTED,EXACT,SPECIES,london31May2023
1800004,Lepidoptera,Noctuidae,Moma,Moma alpium,Moma alpium,99,ACCEPTED,EXACT,SPECIES,london31May2023
1761735,Lepidoptera,Noctuidae,Mormo,Mormo maura,Mormo maura,98,ACCEPTED,EXACT,SPECIES,london31May2023
5772178,Lepidoptera,Noctuidae,Mythimna,Mythimna albipuncta,Mythimna albipuncta,98,ACCEPTED,EXACT,SPECIES,london31May2023
5111360,Lepidoptera,Noctuidae,Leucania,Mythimna commoides,Leucania commoides,99,SYNONYM,EXACT,SPECIES,london31May2023
5772199,Lepidoptera,Noctuidae,Mythimna,Mythimna conigera,Mythimna conigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
5772176,Lepidoptera,Noctuidae,Mythimna,Mythimna ferrago,Mythimna ferrago,98,ACCEPTED,EXACT,SPECIES,london31May2023
5772210,Lepidoptera,Noctuidae,Mythimna,Mythimna impura,Mythimna impura,98,ACCEPTED,EXACT,SPECIES,london31May2023
5772172,Lepidoptera,Noctuidae,Mythimna,Mythimna l-album,Mythimna l-album,99,ACCEPTED,EXACT,SPECIES,london31May2023
5772180,Lepidoptera,Noctuidae,Mythimna,Mythimna litoralis,Mythimna litoralis,99,ACCEPTED,EXACT,SPECIES,london31May2023
5772196,Lepidoptera,Noctuidae,Mythimna,Mythimna pallens,Mythimna pallens,99,ACCEPTED,EXACT,SPECIES,london31May2023
5772202,Lepidoptera,Noctuidae,Mythimna,Mythimna pudorina,Mythimna pudorina,99,ACCEPTED,EXACT,SPECIES,london31May2023
5772205,Lepidoptera,Noctuidae,Mythimna,Mythimna straminea,Mythimna straminea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1767655,Lepidoptera,Noctuidae,Mythimna,Mythimna turca,Mythimna turca,99,ACCEPTED,EXACT,SPECIES,london31May2023
5772169,Lepidoptera,Noctuidae,Mythimna,Mythimna unipuncta,Mythimna unipuncta,99,ACCEPTED,EXACT,SPECIES,london31May2023
5772206,Lepidoptera,Noctuidae,Mythimna,Mythimna vitellina,Mythimna vitellina,99,ACCEPTED,EXACT,SPECIES,london31May2023
1779334,Lepidoptera,Noctuidae,Naenia,Naenia typica,Naenia typica,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789730,Lepidoptera,Noctuidae,Noctua,Noctua comes,Noctua comes,98,ACCEPTED,EXACT,SPECIES,london31May2023
1789745,Lepidoptera,Noctuidae,Noctua,Noctua fimbriata,Noctua fimbriata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789694,Lepidoptera,Noctuidae,Noctua,Noctua interjecta,Noctua interjecta,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789785,Lepidoptera,Noctuidae,Noctua,Noctua janthe,Noctua janthe,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789783,Lepidoptera,Noctuidae,Noctua,Noctua janthina,Noctua janthina,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789755,Lepidoptera,Noctuidae,Noctua,Noctua orbona,Noctua orbona,98,ACCEPTED,EXACT,SPECIES,london31May2023
1789695,Lepidoptera,Noctuidae,Noctua,Noctua pronuba,Noctua pronuba,98,ACCEPTED,EXACT,SPECIES,london31May2023
5110644,Lepidoptera,Noctuidae,Nonagria,Nonagria typhae,Nonagria typhae,99,ACCEPTED,EXACT,SPECIES,london31May2023
1770416,Lepidoptera,Noctuidae,Ochropleura,Ochropleura leucogaster,Ochropleura leucogaster,99,ACCEPTED,EXACT,SPECIES,london31May2023
1770477,Lepidoptera,Noctuidae,Ochropleura,Ochropleura plecta,Ochropleura plecta,99,ACCEPTED,EXACT,SPECIES,london31May2023
1766510,Lepidoptera,Noctuidae,Oligia,Oligia fasciuncula,Oligia fasciuncula,98,ACCEPTED,EXACT,SPECIES,london31May2023
1766410,Lepidoptera,Noctuidae,Oligia,Oligia latruncula,Oligia latruncula,98,ACCEPTED,EXACT,SPECIES,london31May2023
7895336,Lepidoptera,Noctuidae,Oligia,Oligia strigilis,Oligia strigilis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1766418,Lepidoptera,Noctuidae,Oligia,Oligia versicolor,Oligia versicolor,98,ACCEPTED,EXACT,SPECIES,london31May2023
