family_taxon,taxon,preferred_authority,common_name,name_tvk,rtvk,organism_key
Cossidae,Cossus cossus,"(Linnaeus, 1758)",Goat Moth,NBNSYS0000005662,NBNSYS0000005662,NBNORG0000009013
Drepanidae,Watsonalla cultraria,"(Fabricius, 1775)",Barred Hook-tip,NBNSYS0100005988,NBNSYS0100005988,NBNORG0000043590
Endromidae,Endromis versicolora,"(Linnaeus, 1758)",Kentish Glory,NBNSYS0000005716,NBNSYS0000005716,NBNORG0000009049
Erebidae,Amata phegea,"(Linnaeus, 1758)",Nine-spotted,NHMSYS0000501207,NHMSYS0000501207,NBNORG0000057427
Erebidae,Anomis sabulifera,"Guenée, 1852",Angled Gem,NHMSYS0000501250,NHMSYS0000501250,NBNORG0000057449
Erebidae,Antichloris caca,"(Hübner, 1818)",Docker,NHMSYS0000501260,NHMSYS0000501260,NBNORG0000057456
Erebidae,Antichloris eriphia,"(Fabricius, 1777)",Banana Stowaway,NHMSYS0000501261,NHMSYS0000501261,NBNORG0000057457
Geometridae,Eulithis testata,"(Linnaeus, 1761)",Chevron,NBNSYS0000005835,NBNSYS0000005835,NBNORG0000009129
Geometridae,Euphyia biangulata,"(Haworth, 1809)",Cloaked Carpet,NBNSYS0000005873,NBNSYS0000005873,NBNORG0000009150
Noctuidae,Hecatera dysodea,"([Denis & Schiffermüller], 1775)",Small Ranunculus,NHMSYS0021144844,NHMSYS0021144844,NBNORG0000058294